code,통,반,법정동,지번,아파트,출처
31150680,31,0,거모동,1859,군자서희스타힐스,juso+지적도검증
31150680,32,0,거모동,1859,군자서희스타힐스,juso+지적도검증
31150670,26,0,군자동,819,금강펜테리움센트럴파크,juso+지적도검증
31150670,27,0,군자동,819,금강펜테리움센트럴파크,juso+지적도검증
31150670,32,0,군자동,821,이편한세상 시흥장현,juso+지적도검증
31150670,28,0,능곡동,894,제일풍경채센텀,juso+지적도검증
31150670,29,0,능곡동,894,제일풍경채센텀,juso+지적도검증
31150670,25,0,능곡동,864,트리플포레,juso+지적도검증
31150710,44,0,장곡동,913,시흥장현 더 포레마제,juso+지적도검증
31150710,45,0,장곡동,913,시흥장현 더 포레마제,juso+지적도검증
31150710,46,0,장곡동,913,시흥장현 더 포레마제,juso+지적도검증
31150710,26,0,장현동,608,모아미래도에듀포레,juso+지적도검증
31150710,27,0,장현동,608,모아미래도에듀포레,juso+지적도검증
31150710,24,0,장현동,591,시흥장현호반써밋,juso+지적도검증
31150710,25,0,장현동,591,시흥장현호반써밋,juso+지적도검증
31150670,19,0,능곡동,888,장현행복주택,담당자확인
31150670,20,0,능곡동,888,장현행복주택,담당자확인
31150670,21,0,능곡동,848,리슈빌더스테이,담당자확인
31150670,22,0,능곡동,848,리슈빌더스테이,담당자확인
31150670,23,0,광석동,542,동원로얄듀크,담당자확인
31150670,30,0,군자동,827,동원로얄듀크2차,담당자확인
